year,chapter,chapter_name,emergency
2016,VII,Eye & adnexa diseases,28866.0
2016,VIII,Ear & mastoid diseases,24073.0
2016,X,Respiratory system diseases,840118.0
2016,XI,Digestive system diseases,520928.0
2016,XII,Skin & subcutaneous tissue,172446.0
2016,XIII,Musculoskeletal & connective tissue,248426.0
2016,XIV,Genitourinary system diseases,329101.0
2016,XIX,Injury & poisoning,792228.0
2016,XVI,Perinatal conditions,50102.0
2016,XVII,Congenital malformations,10207.0
2016,XVIII,Symptoms & abnormal findings,1137607.0
2016,XXI,Health services contacts,39671.0
2017,I,Infectious & parasitic diseases,443873.0
2017,II,Neoplasms,130568.0
2017,III,Blood & immune disorders,75214.0
2017,IV,"Endocrine, nutritional & metabolic",134706.0
2017,IX,Circulatory system diseases,556544.0
2017,V,Mental & behavioural disorders,137986.0
2017,VI,Nervous system diseases,128769.0
2017,VII,Eye & adnexa diseases,30242.0
2017,VIII,Ear & mastoid diseases,26626.0
2017,X,Respiratory system diseases,867886.0
2017,XI,Digestive system diseases,525133.0
2017,XII,Skin & subcutaneous tissue,177799.0
2017,XIII,Musculoskeletal & connective tissue,265562.0
2017,XIV,Genitourinary system diseases,295254.0
2017,XIX,Injury & poisoning,808251.0
2017,XV,Pregnancy & childbirth,286.0
2017,XVI,Perinatal conditions,49715.0
2017,XVII,Congenital malformations,10234.0
2017,XVIII,Symptoms & abnormal findings,1173071.0
2017,XXI,Health services contacts,40511.0
2018,I,Infectious & parasitic diseases,416217.0
2018,II,Neoplasms,131451.0
2018,III,Blood & immune disorders,81625.0
2018,IV,"Endocrine, nutritional & metabolic",144607.0
2018,IX,Circulatory system diseases,573573.0
2018,V,Mental & behavioural disorders,145554.0
2018,VI,Nervous system diseases,134687.0
2018,VII,Eye & adnexa diseases,31775.0
2018,VIII,Ear & mastoid diseases,29714.0
2018,X,Respiratory system diseases,892913.0
2018,XI,Digestive system diseases,563562.0
2018,XII,Skin & subcutaneous tissue,195516.0
2018,XIII,Musculoskeletal & connective tissue,292172.0
2018,XIV,Genitourinary system diseases,326990.0
2018,XIX,Injury & poisoning,839407.0
2018,XVI,Perinatal conditions,50818.0
2018,XVII,Congenital malformations,10287.0
2018,XVIII,Symptoms & abnormal findings,1299363.0
2018,XXI,Health services contacts,43637.0
2019,I,Infectious & parasitic diseases,393701.0
2019,II,Neoplasms,132842.0
2019,III,Blood & immune disorders,85140.0
2019,IV,"Endocrine, nutritional & metabolic",151740.0
2019,IX,Circulatory system diseases,595834.0
2019,V,Mental & behavioural disorders,146042.0
2019,VI,Nervous system diseases,137294.0
2019,VII,Eye & adnexa diseases,34439.0
2019,VIII,Ear & mastoid diseases,31617.0
2019,X,Respiratory system diseases,929878.0
2019,XI,Digestive system diseases,581043.0
2019,XII,Skin & subcutaneous tissue,205483.0
2019,XIII,Musculoskeletal & connective tissue,303196.0
2019,XIV,Genitourinary system diseases,326636.0
2019,XIX,Injury & poisoning,840723.0
2019,XV,Pregnancy & childbirth,9772.0
2019,XVI,Perinatal conditions,51897.0
2019,XVII,Congenital malformations,10622.0
2019,XVIII,Symptoms & abnormal findings,1253459.0
2019,XXI,Health services contacts,47431.0
2020,I,Infectious & parasitic diseases,228302.0
2020,II,Neoplasms,125837.0
2020,III,Blood & immune disorders,77684.0
2020,IV,"Endocrine, nutritional & metabolic",141763.0
2020,IX,Circulatory system diseases,556810.0
2020,V,Mental & behavioural disorders,135533.0
2020,VI,Nervous system diseases,125761.0
2020,VII,Eye & adnexa diseases,25001.0
2020,VIII,Ear & mastoid diseases,22760.0
2020,X,Respiratory system diseases,413473.0
2020,XI,Digestive system diseases,538048.0
2020,XII,Skin & subcutaneous tissue,151583.0
2020,XIII,Musculoskeletal & connective tissue,260253.0
2020,XIV,Genitourinary system diseases,266209.0
2020,XIX,Injury & poisoning,723264.0
2020,XV,Pregnancy & childbirth,7893.0
2020,XVI,Perinatal conditions,45511.0
2020,XVII,Congenital malformations,10089.0
2020,XVIII,Symptoms & abnormal findings,1094609.0
2020,XXI,Health services contacts,44301.0
2021,I,Infectious & parasitic diseases,335182.0
2021,II,Neoplasms,145637.0
2021,III,Blood & immune disorders,96859.0
2021,IV,"Endocrine, nutritional & metabolic",161308.0
2021,IX,Circulatory system diseases,619283.0
2021,V,Mental & behavioural disorders,133654.0
2021,VI,Nervous system diseases,137572.0
2021,VII,Eye & adnexa diseases,29976.0
2021,VIII,Ear & mastoid diseases,29653.0
2021,X,Respiratory system diseases,670901.0
2021,XI,Digestive system diseases,587214.0
2021,XII,Skin & subcutaneous tissue,177999.0
2021,XIII,Musculoskeletal & connective tissue,306329.0
2021,XIV,Genitourinary system diseases,391019.0
2021,XIX,Injury & poisoning,766333.0
2021,XV,Pregnancy & childbirth,138093.0
2021,XVI,Perinatal conditions,50304.0
2021,XVII,Congenital malformations,10463.0
2021,XVIII,Symptoms & abnormal findings,1235743.0
2021,XXI,Health services contacts,50092.0
2022,I,Infectious & parasitic diseases,335443.0
2022,II,Neoplasms,140868.0
2022,III,Blood & immune disorders,99069.0
2022,IV,"Endocrine, nutritional & metabolic",161118.0
2022,IX,Circulatory system diseases,595461.0
2022,V,Mental & behavioural disorders,114666.0
2022,VI,Nervous system diseases,122300.0
2022,VII,Eye & adnexa diseases,31511.0
2022,VIII,Ear & mastoid diseases,31968.0
2022,X,Respiratory system diseases,802756.0
2022,XI,Digestive system diseases,565132.0
2022,XII,Skin & subcutaneous tissue,186931.0
2022,XIII,Musculoskeletal & connective tissue,281562.0
2022,XIV,Genitourinary system diseases,383477.0
2022,XIX,Injury & poisoning,704933.0
2022,XV,Pregnancy & childbirth,137330.0
2022,XVI,Perinatal conditions,49914.0
2022,XVII,Congenital malformations,10171.0
2022,XVIII,Symptoms & abnormal findings,1159635.0
2022,XXI,Health services contacts,50513.0
2023,I,Infectious & parasitic diseases,352559.0
2023,II,Neoplasms,143624.0
2023,III,Blood & immune disorders,104514.0
2023,IV,"Endocrine, nutritional & metabolic",171766.0
2023,IX,Circulatory system diseases,639908.0
2023,V,Mental & behavioural disorders,120646.0
2023,VI,Nervous system diseases,134971.0
2023,VII,Eye & adnexa diseases,33320.0
2023,VIII,Ear & mastoid diseases,36364.0
2023,X,Respiratory system diseases,868212.0
2023,XI,Digestive system diseases,619962.0
2023,XII,Skin & subcutaneous tissue,206898.0
2023,XIII,Musculoskeletal & connective tissue,314071.0
2023,XIV,Genitourinary system diseases,417186.0
2023,XIX,Injury & poisoning,739226.0
2023,XV,Pregnancy & childbirth,151581.0
2023,XVI,Perinatal conditions,52590.0
2023,XVII,Congenital malformations,10722.0
2023,XVIII,Symptoms & abnormal findings,1307050.0
2023,XXI,Health services contacts,57791.0
